t,x,y
1.524000000E2,1.950653120E1,1.737010160E2
1.528000000E2,4.412191582E1,1.630188679E2
1.532000000E2,5.108853411E1,1.583744557E2
1.536000000E2,7.059506531E1,1.509433962E2
1.540000000E2,7.616835994E1,1.388679245E2
1.544000000E2,7.988388970E1,1.291146589E2
1.548000000E2,8.174165457E1,9.381712627E1
1.552000000E2,9.288824383E1,5.201741655E1
1.556000000E2,1.133236575E2,2.368650218E1
1.560000000E2,1.170391872E2,1.950653120E1
1.564000000E2,1.021770682E2,1.393323657E1
1.568000000E2,8.963715530E1,1.346879536E1
1.572000000E2,1.388679245E2,8.824383164E0
1.576000000E2,1.806676343E2,1.207547170E1
1.580000000E2,1.964586357E2,1.300435414E1
1.584000000E2,2.182873730E2,1.904208999E1
1.588000000E2,2.099274311E2,1.997097242E1
1.592000000E2,2.024963716E2,2.043541364E1
1.596000000E2,1.560522496E2,1.997097242E1
1.600000000E2,1.035703919E2,2.043541364E1
1.604000000E2,7.384615385E1,1.950653120E1
1.608000000E2,4.551523948E1,1.671988389E1
1.612000000E2,2.972423803E1,1.486211901E1
1.616000000E2,1.161103048E1,9.288824383E0
1.620000000E2,1.300435414E1,2.043541364E1
1.624000000E2,2.507982583E1,2.089985486E1
1.628000000E2,3.158200290E1,2.972423803E1
1.632000000E2,1.486211901E1,3.251088534E1
1.636000000E2,1.671988389E1,2.136429608E1
1.640000000E2,2.043541364E1,2.786647315E1
1.644000000E2,1.857764877E1,5.015965167E1
1.648000000E2,1.857764877E1,7.895500726E1
1.652000000E2,1.764876633E1,1.012481858E2
1.656000000E2,1.579100145E1,1.332946299E2
1.660000000E2,1.579100145E1,1.634833091E2
1.664000000E2,1.579100145E1,1.802031930E2
1.668000000E2,1.579100145E1,2.024963716E2
1.672000000E2,1.579100145E1,2.164296081E2
1.676000000E2,2.786647315E1,2.113207547E2
1.680000000E2,2.786647315E1,2.062119013E2
1.684000000E2,1.811320755E1,2.136429608E2
1.688000000E2,3.715529753E1,2.145718433E2
1.692000000E2,4.040638607E1,2.089985486E2
1.696000000E2,4.133526851E1,2.024963716E2
1.700000000E2,4.319303338E1,1.978519594E2
1.704000000E2,4.319303338E1,1.871698113E2
1.708000000E2,4.597968070E1,1.760232221E2
1.712000000E2,4.690856313E1,1.597677794E2
1.716000000E2,5.712626996E1,1.263280116E2
