t,x,y
591,26496420380,3.89451E+11
592,16696534480,3.84106E+11
593,31841812690,3.82324E+11
594,18478331920,3.78761E+11
595,21151028070,3.84106E+11
596,7787547299,3.93906E+11
597,26496420380,3.86779E+11
598,12242040890,3.65397E+11
599,8678446018,3.40452E+11
600,14023838330,3.22634E+11
601,14023838330,3.14616E+11
602,22932825510,2.94125E+11
603,6896648581,2.28199E+11
604,6005749863,1.66727E+11
605,16696534480,1.12382E+11
606,9569344736,1.47127E+11
607,15805635760,1.22182E+11
608,22041926790,88327656020
609,45205293460,1.41782E+11
610,1.30732E+11,1.64945E+11
611,1.42313E+11,1.76527E+11
612,1.90422E+11,1.71181E+11
613,1.69931E+11,1.13273E+11
614,2.4833E+11,58037099610
615,2.31403E+11,13492163700
616,2.39421E+11,20619353440
617,2.62585E+11,6364973953
618,3.25838E+11,58037099610
619,2.9733E+11,1.17727E+11
620,2.80403E+11,1.79199E+11
621,3.24057E+11,2.6918E+11
622,3.19602E+11,2.8878E+11
623,3.89983E+11,3.54706E+11
624,3.91765E+11,3.36888E+11
625,3.62365E+11,3.59161E+11
626,3.38311E+11,3.61834E+11
627,3.67711E+11,3.62724E+11
628,3.72165E+11,3.62724E+11
629,3.82856E+11,3.70743E+11
630,4.00674E+11,3.75197E+11
631,3.82856E+11,3.52925E+11
632,3.99783E+11,3.84997E+11
633,3.78401E+11,3.76088E+11
634,3.75729E+11,3.93015E+11
635,3.96219E+11,3.7787E+11
636,3.84638E+11,3.51143E+11
637,4.13146E+11,3.95688E+11
638,3.78401E+11,3.9747E+11
639,3.77511E+11,3.95688E+11
640,3.63256E+11,4.04597E+11
641,4.06019E+11,3.90342E+11
642,3.75729E+11,3.92124E+11
643,3.94438E+11,4.05488E+11
644,4.01565E+11,4.00142E+11
645,4.08692E+11,3.76979E+11
646,3.59693E+11,3.90342E+11
647,4.01565E+11,4.07269E+11
648,4.15819E+11,4.07269E+11
649,4.14037E+11,3.79652E+11
650,4.01565E+11,3.67179E+11
651,3.99783E+11,4.0816E+11
652,4.06019E+11,3.45797E+11
653,3.88201E+11,2.79871E+11
654,3.67711E+11,2.3889E+11
655,3.6682E+11,1.37327E+11
656,3.6682E+11,1.21291E+11
657,2.00222E+11,1.27527E+11
658,2.07349E+11,1.29309E+11
659,2.07349E+11,68727884220
660,2.06458E+11,48237213710
661,1.4855E+11,82091365000
662,1.31622E+11,91891250890
663,1.27168E+11,87436757300
664,56786976800,53582606010
665,63023267820,51800808580
666,54114280640,69618782940
667,1.06677E+11,1.77418E+11
668,1.00441E+11,1.67618E+11
669,1.28059E+11,1.81872E+11
670,1.36968E+11,2.33544E+11
671,71041356290,2.8878E+11
672,72823153720,3.01252E+11
673,31841812690,2.6918E+11
674,42532597310,2.81653E+11
675,79059444750,2.66507E+11
676,69259558850,2.54035E+11
677,36296306280,1.64054E+11
678,36296306280,1.41782E+11
679,31841812690,1.07927E+11
680,14914737040,96345744490
681,23823724230,66946086790
682,30950913970,44673618830
683,25605521660,10819467540
684,18478331920,9037670108
685,33623610130,15273961130
686,21151028070,25073847030
687,22041926790,15273961130
688,15805635760,33091935500
689,19369230640,14383062420
690,22041926790,35764631650
691,69259558850,21510252160
692,1.34295E+11,45564517550
693,1.32513E+11,44673618830
694,1.28059E+11,36655530370
695,1.93985E+11,32201036780
696,1.7884E+11,25964745750
697,1.67258E+11,18837556010
698,1.68149E+11,15273961130
699,1.70822E+11,18837556010
700,1.54786E+11,17055758570
701,1.45877E+11,17946657290
702,1.99331E+11,25073847030
703,2.33185E+11,56255302170
704,3.1782E+11,44673618830
705,4.14037E+11,40219125240
706,4.08692E+11,46455416270
707,3.98001E+11,60709795760
708,4.05128E+11,82091365000
709,4.06019E+11,77636871400
710,4.03347E+11,73182377810
711,4.10474E+11,77636871400
712,4.13146E+11,58037099610
713,4.10474E+11,74964175250
714,4.29183E+11,31310138060
715,4.40764E+11,11710366260
716,4.37201E+11,7255872671
717,4.3631E+11,5474075235
718,4.22055E+11,10819467540
719,4.29183E+11,16164859850
720,4.18492E+11,24182948320
721,3.99783E+11,74964175250
722,3.98001E+11,1.4E+11
723,3.8731E+11,2.0949E+11
724,4.09583E+11,2.64726E+11
725,3.89983E+11,3.03034E+11
726,3.9711E+11,2.86107E+11
727,3.69492E+11,2.93234E+11
728,3.38311E+11,3.15507E+11
729,3.1782E+11,4.00142E+11
730,3.14257E+11,4.04597E+11
731,2.81293E+11,3.95688E+11
732,3.05348E+11,3.95688E+11
733,3.52565E+11,4.10833E+11
734,3.67711E+11,4.01033E+11
735,3.49893E+11,3.93906E+11
736,3.50784E+11,4.09942E+11
737,3.59693E+11,3.9836E+11
738,3.52565E+11,3.83215E+11
739,3.55238E+11,3.91233E+11
740,3.55238E+11,4.01924E+11
741,3.39202E+11,4.01924E+11
742,3.50784E+11,3.94797E+11
743,3.81965E+11,4.06378E+11
744,3.70383E+11,4.20633E+11
745,3.58802E+11,4.10833E+11
746,3.74838E+11,3.9836E+11
747,4.05128E+11,4.0816E+11
748,3.94438E+11,3.45797E+11
749,3.83747E+11,3.21743E+11
750,3.49002E+11,3.23525E+11
751,3.59693E+11,3.19961E+11
752,3.36529E+11,3.39561E+11
753,3.40093E+11,3.36888E+11
754,3.6682E+11,3.07489E+11
755,4.02456E+11,2.97689E+11
756,3.9711E+11,2.52253E+11
757,3.98892E+11,2.35326E+11
758,4.06019E+11,2.18399E+11
759,3.89983E+11,1.40891E+11
760,3.83747E+11,1.19509E+11
761,3.24057E+11,1.55145E+11
762,3.32075E+11,1.56036E+11
